user_id;items;item_id
u1;citrus fruit;13
u1; semi-finished bread;60
u1;margarine;69
u1;ready soups;78
u2;tropical fruit;14
u2;yogurt;29
u2;coffee;98
u3;whole milk;24
u4;pip fruit;15
u4;yogurt;29
u4;cream cheese ;38
u4;meat spreads;92
u5;other vegetables;22
u5;whole milk;24
u5;condensed milk;33
u5;long life bakery product;123
u6;whole milk;24
u6;butter;25
u6;yogurt;29
u6;rice;65
u6;abrasive cleaner;138
u7;rolls/buns;55
u8;other vegetables;22
u8;UHT-milk;32
u8;rolls/buns;55
u8;bottled beer;107
u8;liquor (appetizer);114
u9;pot plants;164
u10;whole milk;24
u10;cereals;81
u11;tropical fruit;14
u11;other vegetables;22
u11;white bread;56
u11;bottled water;102
u11;chocolate;127
u12;citrus fruit;13
u12;tropical fruit;14
u12;whole milk;24
u12;butter;25
u12;curd;26
u12;yogurt;29
u12;flour;63
u12;bottled water;102
u12;dishes;153
u13;beef;10
u14;frankfurter;0
u14;rolls/buns;55
u14;soda;103
u15;chicken;7
u15;tropical fruit;14
u16;butter;25
u16;sugar;71
u16;fruit/vegetable juice;105
u16;newspapers;162
u17;fruit/vegetable juice;105
u18;packaged fruit/vegetables;23
u19;chocolate;127
u20;specialty bar;130
u21;other vegetables;22
u22;butter milk;28
u22;pastry;58
u23;whole milk;24
u24;tropical fruit;14
u24;cream cheese ;38
u24;processed cheese;39
u24;detergent;134
u24;newspapers;162
u25;tropical fruit;14
u25;root vegetables;19
u25;other vegetables;22
u25;frozen dessert;52
u25;rolls/buns;55
u25;flour;63
u25;sweet spreads;91
u25;salty snack;119
u25;waffles;124
u25;candy;132
u25;bathroom cleaner;141
u26;bottled water;102
u26;canned beer;108
u27;yogurt;29
u28;sausage;1
u28;rolls/buns;55
u28;soda;103
u28;chocolate;127
u29;other vegetables;22
u30;brown bread;57
u30;soda;103
u30;fruit/vegetable juice;105
u30;canned beer;108
u30;newspapers;162
u30;shopping bags;167
u31;yogurt;29
u31;beverages;31
u31;bottled water;102
u31;specialty bar;130
u32;hamburger meat;11
u32;other vegetables;22
u32;rolls/buns;55
u32;spices;76
u32;bottled water;102
u32;hygiene articles;151
u32;napkins;152
u33;root vegetables;19
u33;other vegetables;22
u33;whole milk;24
u33;beverages;31
u33;sugar;71
u34;pork;9
u34;berries;17
u34;other vegetables;22
u34;whole milk;24
u34;whipped/sour cream;30
u34;artif. sweetener;72
u34;soda;103
u34;abrasive cleaner;138
u35;beef;10
u35;grapes;16
u35;detergent;134
u36;pastry;58
u36;soda;103
u37;fruit/vegetable juice;105
u38;canned beer;108
u39;root vegetables;19
u39;other vegetables;22
u39;whole milk;24
u39;dessert;27
u40;citrus fruit;13
u40;zwieback;61
u40;newspapers;162
u41;sausage;1
u41;rolls/buns;55
u41;soda;103
u41;canned beer;108
u41;specialty bar;130
u41;shopping bags;167
u42;tropical fruit;14
u42;root vegetables;19
u42;whole milk;24
u42;yogurt;29
u42;domestic eggs;54
u42;brown bread;57
u42;pastry;58
u42;sugar;71
u42;cereals;81
u42;coffee;98
u42;soda;103
u42;waffles;124
u42;candy;132
u43;berries;17
u43;yogurt;29
u44;canned beer;108
u45;butter milk;28
u45;yogurt;29
u45;cream cheese ;38
u45;spread cheese;40
u45;rolls/buns;55
u45;bottled water;102
u45;soda;103
u45;newspapers;162
u46;coffee;98
u47;pastry;58
u47;bottled water;102
u48;rolls/buns;55
u49;misc. beverages;104
u50;root vegetables;19
u50;other vegetables;22
u50;butter;25
u50;curd;26
u50;whipped/sour cream;30
u50;UHT-milk;32
u50;hard cheese;37
u50;rolls/buns;55
u50;bottled water;102
u50;long life bakery product;123
u51;sausage;1
u51;rolls/buns;55
u51;cat food;95
u51;newspapers;162
u52;canned beer;108
u53;ham;3
u53;grapes;16
u53;other vegetables;22
u53;whole milk;24
u54;turkey;8
u54;tropical fruit;14
u54;other vegetables;22
u54;curd;26
u54;domestic eggs;54
u54;brown bread;57
u54;semi-finished bread;60
u54;margarine;69
u54;baking powder;83
u54;fruit/vegetable juice;105
u55;whole milk;24
u55;yogurt;29
u55;processed cheese;39
u55;pickled vegetables;88
u55;soda;103
u56;whole milk;24
u56;curd;26
u56;yogurt;29
u56;pastry;58
u57;packaged fruit/vegetables;23
u57;brown bread;57
u57;canned beer;108
u58;rolls/buns;55
u58;oil;68
u58;bottled water;102
u58;chewing gum;126
u58;chocolate marshmallow;131
u58;hygiene articles;151
u58;napkins;152
u59;ham;3
u59;beef;10
u59;whipped/sour cream;30
u59;ice cream;51
u59;rolls/buns;55
u59;cat food;95
u60;rolls/buns;55
u60;pastry;58
u60;sugar;71
u61;other vegetables;22
u61;whole milk;24
u61;frozen vegetables;46
u61;canned fish;93
u61;salty snack;119
u61;seasonal products;133
u61;detergent;134
u62;sausage;1
u62;pastry;58
u63;sausage;1
u63;beef;10
u63;whole milk;24
u64;frankfurter;0
u64;tropical fruit;14
u64;rolls/buns;55
u64;brown bread;57
u64;sugar;71
u65;rolls/buns;55
u65;pastry;58
u65;soda;103
u66;whole milk;24
u67;curd cheese;41
u67;coffee;98
u68;red/blush wine;116
u68;newspapers;162
u69;sausage;1
u69;whole milk;24
u69;curd;26
u70;tropical fruit;14
u70;pip fruit;15
u70;berries;17
u70;whole milk;24
u70;frozen potato products;53
u70;rolls/buns;55
u70;pickled vegetables;88
u70;chocolate;127
u71;red/blush wine;116
u72;whole milk;24
u72;butter;25
u72;margarine;69
u72;specialty fat;70
u72;specialty chocolate;129
u72;candles;159
u72;flower (seeds);166
u73;frankfurter;0
u73;citrus fruit;13
u73;whole milk;24
u73;domestic eggs;54
u73;oil;68
u73;sparkling wine;118
u73;specialty chocolate;129
u73;newspapers;162
u74;whole milk;24
u74;meat spreads;92
u74;soda;103
u75;frozen potato products;53
u76;other vegetables;22
u76;whole milk;24
u76;rolls/buns;55
u76;sugar;71
u77;citrus fruit;13
u77;whole milk;24
u77;curd;26
u77;butter milk;28
u77;pastry;58
u78;flour;63
u78;salt;64
u78;bottled water;102
u78;fruit/vegetable juice;105
